id,pkg,func
374,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).Width
435,shared,(*golang.org/x/tools/go/ssa.Call).Name
493,shared,(*github.com/muesli/termenv.Output).ClearLineRight
626,github.com/go-git/go-git/v5/plumbing,(*github.com/go-git/go-git/v5/plumbing.Reference).Hash
673,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.AddFunction
775,shared,(*github.com/charmbracelet/lipgloss.Style).GetBorderTopForeground
1031,shared,(*go/types.Func).Name
309,crypto,(crypto.Hash).HashFunc
387,shared,(*github.com/charmbracelet/lipgloss.Border).GetTopSize
528,shared,(go/types.Checker).ObjectOf
676,go/types,(*go/types.Pointer).Elem
803,time,(time.absCentury).leap
873,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBold
988,net,(net.IP).IsPrivate
1482,shared,(*time.Time).appendStrictRFC3339
30,shared,(*github.com/charmbracelet/lipgloss.Style).BorderLeft
227,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Border).GetRightSize
369,github.com/muesli/termenv,(github.com/muesli/termenv.Profile).FromColor
540,net/url,net/url.Parse
558,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.pkgDirForSSAPkg
795,shared,(*github.com/muesli/termenv.Output).Copy
909,github.com/picatz/taint,(github.com/picatz/taint.stringSet).includes
1012,shared,(*go/types.Label).setType
243,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetItalic
678,github.com/picatz/taint/callgraphutil,(*github.com/picatz/taint/callgraphutil.Logger).Debug
1041,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.init$2$5
1222,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.init$7
1531,shared,(*time.Duration).Truncate
1540,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetMaxWidth
327,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.init$1
355,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetMarginBottom
854,math/big,(math/big.nat).divRecursive
992,shared,(*go/types.TypeName).Name
1028,shared,(*time.Time).Equal
1427,golang.org/x/term,golang.org/x/term.NewTerminal
1513,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.Parameter).Referrers
15,bufio,(*bufio.Writer).Flush
94,go/types,go/types.init
235,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetBorderBottomSize
290,github.com/muesli/termenv,(github.com/muesli/termenv.Output).DeleteLines
482,shared,(*go/types.Builtin).sameId
